"Name","Symbol","Date","High","Low","Open","Close","market_billion_usd","volume_billion_usd"
"Bitcoin","BTC",2017-12-29,35487.2480035,31350.88385819,34659.10449948,31637.78005541,592.97821118903,40.230904226
"Bitcoin","BTC",2017-12-30,32637.58719331,30184.50179358,31594.66357132,32186.27767093,603.27602830872,38.58538552138
"Bitcoin","BTC",2017-12-31,34656.12735553,32071.75714808,32287.52321108,34649.64458753,649.46167701412,35.51164089397
"Bitcoin","BTC",2018-01-01,35219.89179129,33902.0758922,34679.12222205,34434.33531428,645.44275949321,33.89252375203
"Bitcoin","BTC",2018-01-02,36542.11101765,34252.48489199,34475.55969665,35867.77773549,672.33342340187,37.9014600443
"Bitcoin","BTC",2018-01-03,36074.75975718,34086.15187806,35908.38805414,35040.83724889,656.85251323754,34.05903609904
"Bitcoin","BTC",2018-01-04,35035.98271227,32883.78122635,35035.98271227,33572.11765253,629.33932529774,37.83895707915
"Bitcoin","BTC",2018-01-05,33939.58869924,32770.68078046,33549.6001774,33897.04858963,635.45078410609,38.72897494225
"Bitcoin","BTC",2018-01-06,34909.25989883,33402.69653615,33854.42136155,34668.54840182,649.93970134623,24.38395864326
"Bitcoin","BTC",2018-01-07,35937.56714724,34396.47745754,34665.56486608,35287.77976616,661.57483631486,24.92430791111
"Bitcoin","BTC",2018-01-08,35284.34443007,33213.66103397,35284.34443007,33746.00245614,632.6962071997,26.72155428207
"Bitcoin","BTC",2018-01-09,35038.53636342,33599.91616924,33723.50965515,34235.19345116,641.89916159376,26.50125986976
